time_s,force_N,accel_x_g,accel_y_g,accel_z_g
0.01738281,-0.23291779,0.01461577,0.01998239,0.00961553
0.01748047,0.07819356,-0.02984810,-0.00336365,-0.02266441
0.01757812,-0.27200176,-0.03929007,0.02287711,0.02209814
0.01767578,-0.19135511,-0.00468728,-0.02315210,0.01109529
0.01777344,0.14819589,-0.01749353,0.00845874,0.01426719
0.01787109,0.12593526,0.00000815,-0.00656707,0.01008021
0.01796875,-0.00249085,0.00145003,0.02257361,0.00376913
0.01806641,-0.23650167,-0.02530112,0.02161461,0.02711617
0.01816406,-0.03570228,-0.04101629,0.03977253,-0.01380703
0.01826172,-0.08181075,-0.00942787,0.02163771,-0.00582399
0.01835938,0.11552611,-0.01268466,-0.00221008,-0.00969341
0.01845703,0.35865958,0.00823073,0.02172898,0.00899434
0.01855469,0.05253957,0.00396724,0.03029039,-0.02974851
0.01865234,-0.09689667,-0.00860250,0.02389040,0.03436931
0.01875000,-0.15558273,0.00022586,-0.02652580,-0.00716381
0.01884766,0.01158586,-0.03103812,-0.02185125,-0.01909857
0.01894531,-0.00651898,-0.03565203,0.02414279,-0.02949864
0.01904297,-0.15272787,0.00035738,0.01716690,0.00654608
0.01914063,0.03745329,0.00347719,0.04207832,0.00533334
0.01923828,-0.15263703,0.00620933,0.01192711,0.02173777
0.01933594,0.18681609,-0.00328277,-0.01127718,-0.03321670
0.01943359,0.17939759,0.00691378,0.01965750,0.00687603
0.01953125,0.18271269,-0.00598724,0.00534295,-0.04163422
0.01962891,-0.05110757,-0.02373909,0.04232794,0.01178472
0.01972656,0.09717808,0.01753027,0.01282585,-0.01690602
0.01982422,0.00018957,-0.00826735,0.03054772,-0.02239935
0.01992187,-0.03832181,0.01189266,0.04040021,-0.03227369
0.02001953,-0.03087185,0.00675433,0.03430143,-0.02464240
0.02011719,-0.17495729,-0.00363386,0.00947748,-0.00749916
0.02021484,-0.19657955,-0.03649607,0.00258647,-0.01187571
0.02031250,0.13914722,-0.04369309,0.03618001,-0.01447411
0.02041016,-0.00868531,0.00415873,-0.01185267,0.01729091
0.02050781,0.05246373,-0.01497660,0.05053333,0.01356216
0.02060547,0.17025656,0.01023962,0.04638372,0.03356639
0.02070312,-0.23996987,-0.01749487,-0.01335939,-0.01883083
0.02080078,-0.09761951,-0.00597137,0.02985211,0.01998935
0.02089844,0.04630023,-0.00761024,-0.00459953,-0.02328087
0.02099609,0.07881422,0.01327978,0.00841358,-0.01107509
0.02109375,-0.03656117,-0.02660269,0.00593244,-0.01552770
0.02119141,0.17437688,-0.01633073,0.00384303,0.01923410
0.02128906,0.05155924,-0.00362375,0.01710854,0.02667299
0.02138672,-0.16200732,-0.01933548,0.00353825,0.00324073
0.02148438,-0.11961457,-0.02825167,0.02703306,0.00029026
0.02158203,0.14082066,-0.02934609,0.00139344,-0.00252700
0.02167969,0.08957472,-0.02585495,0.02313262,-0.00488953
0.02177734,-0.26485919,0.00575399,0.02770969,-0.05471781
0.02187500,0.22215685,-0.02037379,-0.00848812,-0.00572330
0.02197266,0.10970405,0.02281932,0.01298491,-0.01192109
0.02207031,0.22150145,0.01983477,-0.00569562,0.02172442
0.02216797,-0.03755513,0.00779344,0.00177942,0.01310584
0.02226563,-0.02435593,0.01074775,-0.03890538,-0.02939140
0.02236328,-0.14896856,-0.01506521,0.00337900,0.01169523
0.02246094,0.40053944,0.03495522,0.01425803,-0.02187759
0.02255859,-0.00631813,-0.00439286,0.03132454,-0.02891840
0.02265625,0.25812998,0.02866617,0.05009246,0.04290235
0.02275391,-0.07709387,-0.00417608,0.02116212,-0.00673288
0.02285156,0.04457618,0.03801319,0.00010167,0.00752376
0.02294922,-0.23070287,0.01874658,0.04898839,-0.00048519
0.02304688,-0.03743007,-0.00913271,0.00065349,0.00420683
0.02314453,0.16756324,0.00402822,0.01158761,0.00090990
0.02324219,-0.16776157,-0.01636494,0.03385362,0.00870841
0.02333984,0.18083413,0.00937756,-0.00162879,-0.01568992
0.02343750,0.07058567,0.01158026,0.03868593,0.00589990
0.02353516,-0.13659264,-0.01231996,0.01071064,-0.00976944
0.02363281,-0.05523959,0.03475133,0.01605273,-0.02467050
0.02373047,-0.04885985,0.00672818,0.00954798,0.01627652
0.02382812,0.01257210,0.04263137,0.00403901,0.00950501
0.02392578,-0.06042159,-0.02530323,-0.00093896,0.04234335
0.02402344,-0.10409319,-0.00357465,0.00476399,0.00532626
0.02412109,-0.02568816,-0.00389581,0.02920215,-0.00101132
0.02421875,-0.13403346,0.02467740,-0.01609850,-0.00683602
0.02431641,-0.17342899,-0.01077537,-0.01474459,0.01238791
0.02441406,0.01277353,-0.00646113,0.02290301,-0.01520664
0.02451172,0.15243113,-0.03848575,0.00813624,-0.01500087
0.02460937,-0.20940576,-0.01313975,0.01171994,0.01719734
0.02470703,0.02052622,0.02055085,-0.01571352,-0.04239202
0.02480469,-0.07749343,0.03769553,0.04406989,0.00440640
0.02490234,-0.12657182,-0.00624231,0.00738718,0.03802276
0.02500000,0.14801565,0.01666499,-0.00568431,0.00292735
0.02509766,-0.05772545,0.01269621,-0.03805991,0.03736067
0.02519531,0.24474525,0.03461346,-0.03308741,-0.01546978
0.02529297,-0.09697590,0.02043060,-0.05565204,0.01217437
0.02539062,0.07797530,-0.01451873,-0.02741496,-0.01752199
0.02548828,-0.01409245,0.02595242,-0.02923442,0.02760508
0.02558594,-0.09310327,0.01791380,0.02227962,-0.05057418
0.02568359,0.10815126,0.05026060,0.00964647,-0.00910586
0.02578125,-0.00324739,-0.01708646,-0.01054865,0.00358891
0.02587891,0.11048159,0.03865608,0.02847993,0.00669103
0.02597656,0.01290627,-0.01707580,0.03740844,0.04023582
0.02607422,-0.14287244,0.07365387,0.03047016,0.04807950
0.02617188,0.00468961,-0.00340662,-0.02162323,-0.02110443
0.02626953,0.02779328,0.01338509,-0.00154778,-0.01505563
0.02636719,0.16376944,0.01643379,-0.01832576,-0.00790189
0.02646484,-0.11594035,0.01875261,-0.00086922,0.04376730
0.02656250,0.01410052,0.02669792,-0.00683883,0.00405186
0.02666016,-0.23828181,0.01452083,-0.03508759,-0.01515585
0.02675781,0.11772396,0.01699905,-0.01150181,0.00072148
0.02685547,-0.14222245,0.01850850,-0.01312647,0.01219586
0.02695313,-0.25095393,0.03143648,0.00221635,-0.01082861
0.02705078,0.01111747,0.04644321,-0.01415759,0.01279389
0.02714844,0.18585274,-0.00038026,-0.02774521,0.02714395
0.02724609,-0.20866704,0.01167511,-0.00069290,0.01251965
0.02734375,-0.14320534,0.05449294,0.00975297,0.02661492
0.02744141,-0.09149123,0.01701372,-0.02700513,0.02634217
0.02753906,-0.14942450,0.02392459,-0.04254895,0.01671881
0.02763672,0.07691418,-0.01890322,-0.00737977,-0.03274520
0.02773437,-0.10110512,0.01178992,0.00406921,-0.03593635
0.02783203,-0.08822721,0.05661825,-0.00254960,0.02217092
0.02792969,0.10749581,-0.00063194,0.03538418,0.01639240
0.02802734,-0.09332719,0.05082223,0.03317881,0.01214533
0.02812500,0.08491701,-0.00896096,-0.00113211,-0.00625868
0.02822266,-0.12570778,0.00066423,-0.02954353,0.02228642
0.02832031,-0.16182078,0.02303771,-0.00059417,0.00003631
0.02841797,-0.25531739,0.04013848,0.00311353,0.00024449
0.02851562,0.29918042,0.03280729,0.01131147,0.02589233
0.02861328,-0.02803885,0.00873145,-0.03446470,0.01888937
0.02871094,0.05659001,0.03675090,0.00905323,-0.00458917
0.02880859,0.01534257,-0.00053313,0.01967632,-0.02125598
0.02890625,0.04399426,0.03731336,0.00327566,0.03201060
0.02900391,0.02745297,-0.00346617,0.01720190,0.00689951
0.02910156,0.30623256,-0.00023723,0.00284462,0.03222945
0.02919922,-0.13583899,-0.02033935,0.00896458,-0.00034397
0.02929688,-0.21361932,-0.00737562,0.01503416,0.06105889
0.02939453,-0.13179395,0.01858548,-0.01834147,0.01778127
0.02949219,-0.18020635,0.01482946,0.01318700,0.01984156
0.02958984,0.13204431,0.01916429,0.01438846,0.01890108
0.02968750,0.14305673,0.00736559,-0.00961162,0.04272571
0.02978516,-0.12419733,-0.00012269,-0.02468307,0.00621931
0.02988281,-0.18856537,0.02997912,0.01054061,0.04925318
0.02998047,-0.03321950,-0.04229597,-0.01177785,0.00399105
0.03007813,0.22866858,0.04709434,0.01960580,0.01183556
0.03017578,-0.40293541,0.00137177,-0.00609334,-0.01137280
0.03027344,0.09899402,0.04191946,-0.00535690,-0.01660514
0.03037109,-0.14136328,0.03450436,0.00858397,-0.00841999
0.03046875,0.17605507,0.00480114,0.01782430,0.00466177
0.03056641,-0.14168859,-0.00398695,0.00668234,0.01682960
0.03066406,-0.02281237,0.02059155,0.03073588,0.00090904
0.03076172,-0.20594187,-0.00228525,-0.02296294,0.02088681
0.03085938,-0.12658868,0.00878878,0.01575478,0.03426340
0.03095703,0.22787587,0.00546447,-0.01780677,0.04894346
0.03105469,0.14308680,0.01872475,0.00761263,0.00359924
0.03115234,-0.04025022,0.00273792,0.00196304,0.04834869
0.03125000,-0.11052586,0.00649263,-0.00538681,-0.03224329
0.03134766,-0.26407107,0.00257115,-0.00577709,-0.01089675
0.03144531,-0.03904851,0.00849886,0.01469626,0.02195474
0.03154297,0.01536451,0.03418704,-0.00605388,0.02627880
0.03164062,0.00739185,0.00520153,-0.04258866,0.00988075
0.03173828,0.00593121,-0.00642373,0.02325134,0.00585295
0.03183594,-0.14827144,-0.00476747,-0.02454890,-0.01350395
0.03193359,0.01005892,0.02884281,0.00189255,0.00299944
0.03203125,0.01419899,0.01776036,0.04839394,0.00189946
0.03212891,0.21358431,-0.00176581,-0.00051488,-0.03251284
0.03222656,0.30001002,-0.01504116,0.02188110,-0.00784118
0.03232422,-0.00054835,-0.02497121,0.01052558,-0.00361106
0.03242188,-0.09494589,0.00506573,0.00344048,0.00116151
0.03251953,0.01025268,0.00733278,0.03050790,0.02255683
0.03261719,-0.07114319,0.01600669,0.02984115,0.02950655
0.03271484,-0.09136507,0.02509677,0.04450103,0.02602631
